Emergency Condition,Symptoms,First Aid Steps
"Heart Attack","Severe chest discomfort with tightness and a rapid heartbeat","Immediately call for help, encourage the person to rest, and monitor their breathing and pulse."
"Heart Attack","Chest pain with sudden fatigue and dizziness","Call emergency services, help the person sit or lie down, and keep them calm while monitoring symptoms."
"Heart Attack","Pressure in the chest with discomfort in the upper body and profuse sweating","Call 108, help the person remain seated, loosen tight clothing, and assist with medication if available."
"Heart Attack","Crushing chest pain with radiation to the back and shortness of breath","Call emergency services immediately, help the person remain calm, and monitor for changes in responsiveness."
"Heart Attack","Sharp chest pain with extreme weakness and nausea","Call for immediate medical help, have the person sit down, and closely monitor their breathing."
"Heart Attack","Severe chest pressure with pain in the left shoulder and arm accompanied by sweating","Call emergency services immediately, keep the person calm, and help them take prescribed heart medication if available."
"Heart Attack","Tightness in the chest with a rapid heartbeat and sudden shortness of breath","Call 108 immediately, help the person sit in a comfortable position, and provide reassurance."
"Heart Attack","Heavy chest pain with a feeling of impending doom and cold sweat","Immediately call emergency services, have the person sit quietly with legs slightly elevated, and monitor vital signs."
"Heart Attack","Severe chest pain with dizziness, nausea, and blurred vision","Call for emergency help immediately, have the person sit or lie down, and monitor their condition closely."
"Heart Attack","Intense squeezing chest pain with pain in the jaw and difficulty breathing","Call 108, help the person remain calm, and administer aspirin if available."
"Heart Attack","Crushing chest pain with pressure in the upper abdomen and lightheadedness","Call emergency services immediately, have the person rest in a seated position, and check if they need medication."
"Heart Attack","Chest pain accompanied by shortness of breath and a rapid, irregular heartbeat","Call for immediate help, assist the person to sit, and discourage unnecessary movement."
"Heart Attack","Intense chest pressure with pain radiating to the left arm and jaw, along with nausea","Call 108 immediately, help the person remain calm and still, and provide aspirin if advised."
"Heart Attack","Severe discomfort in the chest with profuse sweating and a feeling of weakness","Immediately call emergency services, have the person sit down, and monitor their breathing."
"Heart Attack","Sharp, sudden chest pain with dizziness and a rapid pulse","Call emergency services at once, help the person lie down, and check for responsiveness."
"Heart Attack","Intense chest tightness accompanied by cold sweat and shortness of breath","Call 108 immediately, keep the person seated and calm, and assist with any available medication."
"Heart Attack","Crushing chest pain with nausea and lightheadedness","Immediately call for help, have the person sit down, and monitor their condition until help arrives."
"Heart Attack","Persistent chest pressure with pain in the left arm and difficulty breathing","Call emergency services without delay, help the person sit upright, and administer aspirin if advised."
"Heart Attack","Intense chest discomfort with radiation to the neck and jaw accompanied by sweating","Call 108 immediately, keep the person calm, and assist with any prescribed heart medication."
"Heart Attack","Severe chest pain with a sense of anxiety and impending doom","Immediately call emergency services, have the person sit quietly, and monitor their breathing and pulse."
"Heart Attack","Crushing chest pain with extreme fatigue and shortness of breath","Call 108 right away, help the person assume a comfortable sitting position, and closely monitor their condition."
"Heart Attack","Chest tightness with a heavy, squeezing sensation and nausea","Call emergency services immediately, encourage the person to remain calm, and provide aspirin if available."
"Heart Attack","Intense chest pain radiating to the left shoulder with a rapid heartbeat","Call for help immediately, assist the person to sit down, and monitor their vital signs."
"Heart Attack","Severe chest discomfort with shortness of breath and excessive sweating","Call 108 immediately, keep the person in a seated position, and help them take any prescribed medications."
"Heart Attack","Crushing chest pain with dizziness, blurred vision, and cold sweat","Immediately call emergency services, help the person remain calm, and assist with medication if prescribed."
"Heart Attack","Sharp chest pain with a feeling of weakness and sudden shortness of breath","Call for immediate help, have the person sit down, and monitor breathing and responsiveness."
"Heart Attack","Severe pressure in the chest with pain radiating to the back and left arm","Call emergency services immediately, help the person remain still, and provide reassurance until help arrives."
"Heart Attack","Intense chest tightness with pain in the jaw and a racing heart","Call 108 without delay, have the person sit upright, and provide aspirin if they can take it."
"Heart Attack","Crushing chest pain with shortness of breath, nausea, and excessive sweating","Immediately call emergency services, help the person sit down, and avoid unnecessary movement."
"Heart Attack","Severe chest discomfort with radiation to the left arm and jaw","Call 108 immediately, assist the person in sitting upright, and offer aspirin if appropriate."
"Heart Attack","Intense pressure in the chest with shortness of breath and lightheadedness","Call emergency services immediately, help the person rest in a comfortable position, and monitor their condition."
"Heart Attack","Crushing pain in the chest with extreme fatigue and a rapid, irregular heartbeat","Call 108 immediately, have the person sit down, and avoid any unnecessary movement until help arrives."
"Heart Attack","Severe chest pain with a heavy, squeezing sensation and profuse sweating","Call emergency services immediately, help the person remain calm and seated, and monitor their breathing."
"Heart Attack","Intense chest discomfort with pain radiating to the left arm and neck","Call 108 immediately, have the person rest, and check for responsiveness while waiting for help."
"Heart Attack","Crushing chest pain with shortness of breath, nausea, and a sense of dread","Call emergency services immediately, help the person sit down, and reassure them until help arrives."
"Heart Attack","Severe pressure in the chest with pain in the jaw and cold sweat","Immediately call for help, have the person sit upright, and assist with any prescribed heart medication."
"Heart Attack","Intense chest pain with tightness, shortness of breath, and blurred vision","Call 108 immediately, help the person remain calm and seated, and monitor their vital signs closely."
"Heart Attack","Crushing chest pain with radiation to the left arm and a feeling of extreme fatigue","Call emergency services immediately, assist the person to sit down, and offer aspirin if not contraindicated."
"Heart Attack","Severe chest discomfort with pain in the upper abdomen and shortness of breath","Call 108 immediately, have the person rest in an upright position, and monitor their condition."
"Heart Attack","Intense chest pressure with sudden onset of dizziness and nausea","Call for emergency help immediately, have the person sit down, and keep them calm until help arrives."
"Heart Attack","Crushing chest pain with shortness of breath, cold sweat, and anxiety","Immediately call emergency services, help the person sit comfortably, and provide reassurance."
"Heart Attack","Severe chest tightness with pain radiating to the jaw and left shoulder","Call 108 immediately, have the person sit down and relax, and administer aspirin if available."
"Heart Attack","Intense, squeezing chest pain with a rapid heartbeat and dizziness","Call emergency services immediately, assist the person to sit upright, and monitor their breathing."
"Heart Attack","Crushing chest pain with shortness of breath, excessive sweating, and lightheadedness","Immediately call for help, have the person sit down, and assist with any prescribed medication."
"Heart Attack","Severe chest discomfort with a feeling of pressure and pain radiating to the back","Call 108 immediately, help the person remain calm and stationary, and monitor their condition."
"Heart Attack","Intense chest pain with shortness of breath, blurred vision, and nausea","Immediately call emergency services, help the person sit down, and provide reassurance along with any prescribed medication."
"Heart Attack","Crushing chest pain with severe shortness of breath, dizziness, and cold sweat","Call 108 immediately, assist the person in sitting or lying down comfortably, and monitor their vital signs until help arrives."
